admin_unit_code,pct_women_10yr_schooling,pct_households_with_electricity,capacity_raw,connectivity,source,year
IN-MP-raisen,34.6,99.3,60.48,0.399,NFHS-5,2021
IN-MP-rajgarh,21.3,97.8,51.9,0.2395,NFHS-5,2021
IN-MP-ratlam,23.8,99.0,53.88,0.2763,NFHS-5,2021
IN-MP-rewa,23.1,96.5,52.46,0.2499,NFHS-5,2021
IN-MP-sagar,32.9,98.6,59.18,0.3749,NFHS-5,2021
IN-MP-satna,31.5,97.8,58.02,0.3533,NFHS-5,2021
IN-MP-sehore,28.2,99.2,56.6,0.3269,NFHS-5,2021
IN-MP-seoni,33.0,99.2,59.48,0.3804,NFHS-5,2021
IN-MP-shahdol,30.7,97.5,57.42,0.3421,NFHS-5,2021
IN-MP-shajapur,19.6,99.9,51.72,0.2361,NFHS-5,2021
IN-MP-sheopur,15.9,98.0,48.74,0.1807,NFHS-5,2021
IN-MP-shivpuri,21.2,97.2,51.6,0.2339,NFHS-5,2021
IN-MP-sidhi,27.1,96.4,54.82,0.2938,NFHS-5,2021
IN-MP-tikamgarh,25.8,99.7,55.36,0.3038,NFHS-5,2021
IN-MP-ujjain,29.0,99.3,57.12,0.3366,NFHS-5,2021
IN-MP-umaria,26.4,98.2,55.12,0.2994,NFHS-5,2021
IN-MP-vidisha,21.7,98.7,52.5,0.2507,NFHS-5,2021
IN-MZ-aizawl,60.7,99.7,76.3,0.6932,NFHS-5,2021
IN-MZ-champhai,47.8,100.0,68.68,0.5515,NFHS-5,2021
IN-MZ-kolasib,41.7,99.1,64.66,0.4768,NFHS-5,2021
IN-MZ-lawngtlai,32.2,89.0,54.92,0.2956,NFHS-5,2021
IN-MZ-lunglei,46.3,98.0,66.98,0.5199,NFHS-5,2021
IN-MZ-mamit,40.0,97.9,63.16,0.4489,NFHS-5,2021
IN-MZ-saiha,50.2,99.7,70.0,0.5761,NFHS-5,2021
IN-MZ-serchhip,43.1,99.3,65.58,0.4939,NFHS-5,2021
IN-NL-dimapur,52.5,99.8,71.42,0.6025,NFHS-5,2021
IN-NL-kohima,70.9,99.5,82.34,0.8055,NFHS-5,2021
IN-NL-mokokchung,55.8,97.7,72.56,0.6237,NFHS-5,2021
IN-NL-mon,24.3,96.4,53.14,0.2626,NFHS-5,2021
IN-NL-phek,39.4,99.4,63.4,0.4533,NFHS-5,2021
IN-NL-tuensang,27.0,96.6,54.84,0.2942,NFHS-5,2021
IN-NL-wokha,45.3,99.7,67.06,0.5214,NFHS-5,2021
IN-NL-zunheboto,40.2,99.4,63.88,0.4623,NFHS-5,2021
IN-OR-angul,33.7,96.7,58.9,0.3697,NFHS-5,2021
IN-OR-baleshwar,38.3,97.1,61.82,0.4239,NFHS-5,2021
IN-OR-baragarh,37.4,98.4,61.8,0.4236,NFHS-5,2021
IN-OR-bhadrak,37.0,97.8,61.32,0.4147,NFHS-5,2021
IN-OR-bolangir,31.4,97.8,57.96,0.3522,NFHS-5,2021
IN-OR-cuttack,40.9,98.2,63.82,0.4611,NFHS-5,2021
IN-OR-dhenkanal,33.3,96.3,58.5,0.3622,NFHS-5,2021
IN-OR-gajapati,22.5,94.1,51.14,0.2254,NFHS-5,2021
IN-OR-ganjam,32.6,99.3,59.28,0.3767,NFHS-5,2021
IN-OR-jagatsinghpur,46.6,98.2,67.24,0.5247,NFHS-5,2021
IN-OR-jajpur,38.0,97.0,61.6,0.4199,NFHS-5,2021
IN-OR-jharsuguda,40.9,98.1,63.78,0.4604,NFHS-5,2021
IN-OR-kalahandi,26.5,97.2,54.78,0.293,NFHS-5,2021
IN-OR-kandhamal,28.1,96.6,55.5,0.3064,NFHS-5,2021
IN-OR-kendrapara,42.5,99.5,65.3,0.4887,NFHS-5,2021
IN-OR-khordha,43.2,99.5,65.72,0.4965,NFHS-5,2021
IN-OR-koraput,17.6,96.2,49.04,0.1863,NFHS-5,2021
IN-OR-malkangiri,14.0,95.8,46.72,0.1432,NFHS-5,2021
IN-OR-mayurbhanj,25.1,90.3,51.18,0.2261,NFHS-5,2021
IN-OR-nabarangpur,15.5,97.4,48.26,0.1718,NFHS-5,2021
IN-OR-nayagarh,27.1,98.3,55.58,0.3079,NFHS-5,2021
