admin_unit_code,name,state,admin_level,census_state_code,census_district_code,has_deficit_data,match_method
IN-UP-hardoi,Hardoi,Uttar Pradesh,level-2,9,24,true,census_code
IN-UT-hardwar,Hardwar,Uttarakhand,level-2,5,13,true,census_code
IN-KA-hassan,Hassan,Karnataka,level-2,29,20,true,census_code
IN-UP-mahamaya-nagar,Mahamaya Nagar,Uttar Pradesh,level-2,9,13,true,census_code
IN-KA-haveri,Haveri,Karnataka,level-2,29,10,true,census_code
IN-JH-hazaribagh,Hazaribagh,Jharkhand,level-2,20,15,true,census_code
IN-MH-hingoli,Hingoli,Maharashtra,level-2,27,16,true,census_code
IN-HR-hisar,Hisar,Haryana,level-2,6,12,true,census_code
IN-MP-hoshangabad,Hoshangabad,Madhya Pradesh,level-2,23,32,true,census_code
IN-PB-hoshiarpur,Hoshiarpur,Punjab,level-2,3,4,true,census_code
IN-WB-hugli,Hugli,West Bengal,level-2,19,12,true,census_code
IN-AP-hyderabad,Hyderabad,Andhra Pradesh,level-2,28,5,true,census_code
IN-KL-idukki,Idukki,Kerala,level-2,32,9,true,census_code
IN-MN-imphal-east,Imphal East,Manipur,level-2,14,7,true,census_code
IN-MN-imphal-west,Imphal West,Manipur,level-2,14,6,true,census_code
IN-MP-indore,Indore,Madhya Pradesh,level-2,23,22,true,census_code
IN-MP-jabalpur,Jabalpur,Madhya Pradesh,level-2,23,34,true,census_code
IN-OR-jagatsinghapur,Jagatsinghapur,Odisha,level-2,21,11,true,census_code
IN-ML-jaintia-hills,Jaintia Hills,Meghalaya,level-2,17,7,true,census_code
IN-RJ-jaipur,Jaipur,Rajasthan,level-2,8,12,true,census_code
IN-RJ-jaisalmer,Jaisalmer,Rajasthan,level-2,8,16,true,census_code
IN-OR-jajapur,Jajapur,Odisha,level-2,21,13,true,census_code
IN-PB-jalandhar,Jalandhar,Punjab,level-2,3,3,true,census_code
IN-UP-jalaun,Jalaun,Uttar Pradesh,level-2,9,34,true,census_code
IN-MH-jalgaon,Jalgaon,Maharashtra,level-2,27,3,true,census_code
IN-MH-jalna,Jalna,Maharashtra,level-2,27,18,true,census_code
IN-RJ-jalor,Jalor,Rajasthan,level-2,8,18,true,census_code
IN-WB-jalpaiguri,Jalpaiguri,West Bengal,level-2,19,2,true,census_code
IN-JK-jammu,Jammu,Jammu & Kashmir,level-2,1,21,true,census_code
IN-GJ-jamnagar,Jamnagar,Gujarat,level-2,24,10,true,census_code
